date,individual,foreign,institution
20251222,-26714,11017,16055
20251223,-12853,9551,3527
20251224,-7171,5225,2039
20251226,-23265,17790,4435
20251229,661,3337,-3133
20251230,8448,-4768,-3763
20260102,-4252,6309,-2477
20260105,-15141,21726,-7046
20260106,5963,-6184,-664
20260107,-2944,12548,-9397
20260108,12540,-979,-14014
20260109,1339,-16068,12046
20260112,-1013,-3512,2101
20260113,-7125,-2793,7881
20260114,-4377,-3760,5887
20260115,-18235,3450,12905
20260116,-9383,4350,3083
20260119,-7513,5532,-256
20260120,3524,1232,-6500
20260121,-9965,4394,3217
20260122,1555,-2432,-1568
20260123,-7239,1438,4790
20260126,17157,-1588,-15414
20260127,-10197,8448,2474
20260128,12131,4008,-14021
20260129,16173,-14897,-1673
20260130,22979,-19729,-4241
20260202,45874,-25168,-22125
20260203,-29423,7038,21708
20260204,-10119,-9413,17836
20260205,67791,-50108,-20693
20260206,21736,-33233,9414
20260209,-32947,4320,27123
20260210,-8780,1474,5643
20260211,-17149,8461,6927
20260212,-44547,29954,13800
20260213,7141,-9220,831
20260219,-8609,-9396,16542
20260220,-9872,-7420,16149
20260223,10815,-11132,-1271
20260224,-22861,-2013,23773
20260225,2307,-13082,14701
20260226,6498,-21135,12569
20260227,62496,-70528,5666
20260303,57974,-51487,-8859
20260304,796,2303,-5978
20260305,18228,-1446,-17186
20260306,29488,-19418,-11142
20260309,46242,-31735,-15441
20260310,-18340,10283,9164
20260311,-5086,-2563,7821
20260312,22291,-23831,775
20260313,24512,-14502,-10434
20260316,7164,-8485,911
20260317,-5752,-1740,7341
20260318,-38717,8802,31093
20260319,24116,-18760,-6649
20260320,22338,-12402,-10260
20260323,70029,-36751,-38173
20260324,7270,-19863,9683
20260325,-13402,-12895,23230
20260326,30598,-29370,-2999
20260327,22596,-34286,7785
20260330,8945,-20945,8450
20260331,24400,-38386,10251
20260401,-37628,-6411,40419
20260402,12097,-1368,-14517
20260403,-20952,8035,7390
20260406,-10502,-1596,8371
20260407,-3429,3704,-4001
20260408,-54161,19089,27268
20260409,2950,18476,-25125
20260410,-12280,10641,-2031
20260413,7173,-4579,-6698
20260414,-23919,8276,12545
20260415,-9400,4973,368
20260416,-18050,4814,10783
20260417,14464,-19974,1501
20260420,-3158,-2338,2938
20260421,-19204,11565,9181
20260422,11984,-6762,-4046
20260423,4514,-820,-2965
20260424,11832,-19496,8053
20260427,-19758,8563,11349
20260428,-1306,-1843,3532
